,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Dave Meggett 8 yard pass from Phil Simms (Matt Bahr kick),0,7
1,2.0,Eagles,Roger Ruzek 46 yard field goal,3,7
2,2.0,Giants,Dave Meggett 14 yard pass from Phil Simms (Matt Bahr kick),3,14
3,2.0,Eagles,Calvin Williams 8 yard pass from Jeff Kemp (Roger Ruzek kick),10,14
4,3.0,Eagles,Roger Ruzek 21 yard field goal,13,14
5,4.0,Eagles,Roger Ruzek 51 yard field goal,16,14
6,4.0,Eagles,Roger Ruzek 36 yard field goal,19,14
