,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,,Cardinals,Greg Davis 24 yard field goal,0,3
1,2.0,,Cardinals,Greg Davis 24 yard field goal,0,6
2,2.0,,Eagles,Eddie Murray 26 yard field goal,3,6
3,3.0,,Cardinals,Greg Davis 24 yard field goal,3,9
4,4.0,,Eagles,Eddie Murray 30 yard field goal,6,9
5,4.0,,Cardinals,Greg Davis 39 yard field goal,6,12
