,Quarter,Time,Tm,Detail,IND,SFO
0,1.0,5:45,Colts,Marshall Faulk 65 yard rush (Mike Vanderjagt kick),7,0
1,1.0,5:45,Colts,Marvin Harrison 4 yard pass from Peyton Manning (Mike Vanderjagt kick),14,0
2,2.0,5:45,Colts,Marvin Harrison 6 yard pass from Peyton Manning (Mike Vanderjagt kick),21,0
3,2.0,5:45,49ers,Wade Richey 43 yard field goal,21,3
4,2.0,2:00,49ers,J.J. Stokes 3 yard pass from Steve Young (Wade Richey kick),21,10
5,2.0,0:07,49ers,Terrell Owens 10 yard pass from Steve Young (Wade Richey kick),21,17
6,3.0,10:51,Colts,Marvin Harrison 61 yard pass from Peyton Manning (Mike Vanderjagt kick),28,17
7,3.0,10:51,Colts,Mike Vanderjagt 38 yard field goal,31,17
8,4.0,10:51,49ers,Steve Young 1 yard rush,31,23
9,4.0,10:51,49ers,Steve Young 23 yard rush (Jerry Rice pass from Steve Young),31,31
10,4.0,0:08,49ers,Wade Richey 24 yard field goal,31,34
