,Quarter,Tm,Detail,MIA,OAK
0,1.0,Raiders,Raymond Chester 13 yard pass from Jim Plunkett,0,6
1,2.0,Dolphins,Uwe von Schamann 35 yard field goal,3,6
2,2.0,Raiders,Chris Bahr 48 yard field goal,3,9
3,2.0,Raiders,Bob Chandler 17 yard pass from Jim Plunkett (Chris Bahr kick),3,16
4,3.0,Dolphins,Terry Robiskie 2 yard rush (Uwe von Schamann kick),10,16
