,Quarter,Time,Tm,Detail,PIT,ATL
0,1,13:12,Falcons,Alge Crumpler 22 yard pass from Michael Vick (Morten Andersen kick),0,7
1,1,8:46,Steelers,Jeff Reed 28 yard field goal,3,7
2,1,2:22,Steelers,Hines Ward 11 yard pass from Ben Roethlisberger (Jeff Reed kick),10,7
3,2,9:56,Steelers,Heath Miller 1 yard pass from Ben Roethlisberger (Jeff Reed kick),17,7
4,2,4:46,Falcons,Alge Crumpler 3 yard pass from Michael Vick (Morten Andersen kick),17,14
5,2,2:04,Falcons,Michael Jenkins 17 yard pass from Michael Vick (Morten Andersen kick),17,21
6,2,0:58,Steelers,Nate Washington 10 yard pass from Ben Roethlisberger (Jeff Reed kick),24,21
7,3,5:44,Falcons,Warrick Dunn 1 yard rush (Morten Andersen kick),24,28
8,3,4:11,Steelers,Hines Ward 70 yard pass from Charlie Batch (Jeff Reed kick),31,28
9,3,1:10,Falcons,Alge Crumpler 31 yard pass from Michael Vick (Morten Andersen kick),31,35
10,4,6:24,Falcons,Morten Andersen 25 yard field goal,31,38
11,4,3:19,Steelers,Hines Ward 17 yard pass from Charlie Batch (Jeff Reed kick),38,38
12,OT,8:04,Falcons,Morten Andersen 32 yard field goal,38,41
