,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Errol Mann 37 yard field goal,0,3
1,2.0,Rams,Les Josephson 1 yard rush (David Ray kick),7,3
2,2.0,Rams,Lance Rentzel 14 yard pass from Roman Gabriel (David Ray kick),14,3
3,3.0,Lions,Errol Mann 13 yard field goal,14,6
4,4.0,Rams,Lance Rentzel 32 yard pass from Roman Gabriel (David Ray kick),21,6
5,4.0,Lions,Greg Landry 1 yard rush (Errol Mann kick),21,13
