,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,,Bills,Steve Christie 38 yard field goal,0,3
1,2.0,,Jets,Nick Lowery 26 yard field goal,3,3
2,2.0,,Bills,Steve Christie 24 yard field goal,3,6
3,2.0,,Bills,Steve Christie 32 yard field goal,3,9
4,2.0,0:26,Bills,Bill Brooks 15 yard pass from Jim Kelly (Steve Christie kick),3,16
5,3.0,0:26,Jets,Wayne Chrebet 16 yard pass from Bubby Brister (Nick Lowery kick),10,16
6,3.0,0:26,Bills,Steve Christie 51 yard field goal,10,19
7,4.0,0:26,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),10,26
8,4.0,0:26,Bills,Steve Christie 27 yard field goal,10,29
