,Quarter,Time,Tm,Detail,MIN,DET
0,1.0,7:41,Lions,Marvin Jones 16 yard pass from Matthew Stafford (Matt Prater kick),0,7
1,1.0,5:23,Vikings,Adam Thielen 25 yard pass from Kirk Cousins (Dan Bailey kick),7,7
2,1.0,0:17,Lions,Marvin Jones 3 yard pass from Matthew Stafford (Matt Prater kick),7,14
3,2.0,12:44,Vikings,Olabisi Johnson 1 yard pass from Kirk Cousins (Dan Bailey kick),14,14
4,2.0,3:33,Vikings,Dalvin Cook 8 yard rush (Dan Bailey kick),21,14
5,2.0,0:06,Lions,Marvin Jones 10 yard pass from Matthew Stafford (Matt Prater kick),21,21
6,3.0,9:08,Vikings,C.J. Ham 5 yard pass from Kirk Cousins (Dan Bailey kick),28,21
7,3.0,3:26,Lions,Matt Prater 46 yard field goal,28,24
8,4.0,5:46,Vikings,Kyle Rudolph 15 yard pass from Kirk Cousins (Dan Bailey kick),35,24
9,4.0,3:10,Lions,Marvin Jones 2 yard pass from Matthew Stafford (pass failed),35,30
10,4.0,2:00,Vikings,Dalvin Cook 4 yard rush (Dan Bailey kick),42,30
