,Quarter,Time,Tm,Detail,IND,CHI
0,1.0,8:15,Colts,Mo Alie-Cox 13 yard pass from Philip Rivers (Rodrigo Blankenship kick),7,0
1,2.0,9:28,Bears,Cairo Santos 27 yard field goal,7,3
2,2.0,3:50,Colts,Rodrigo Blankenship 21 yard field goal,10,3
3,2.0,0:10,Colts,Rodrigo Blankenship 30 yard field goal,13,3
4,3.0,1:00,Colts,Rodrigo Blankenship 44 yard field goal,16,3
5,4.0,3:51,Colts,Rodrigo Blankenship 30 yard field goal,19,3
6,4.0,1:41,Bears,Allen Robinson 16 yard pass from Nick Foles (David Montgomery run),19,11
