,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Frank Gifford 1 yard rush (Pat Summerall kick),7,0
1,2.0,Giants,Pat Summerall 42 yard field goal,10,0
2,2.0,Steelers,Bobby Layne 1 yard rush (Tom Miner kick),10,7
3,3.0,Steelers,Tom Tracy 9 yard pass from Bobby Layne (Tom Miner kick),10,14
4,3.0,Steelers,Gary Glick 37 yard fumble return (Tom Miner kick),10,21
5,4.0,Steelers,Tom Miner 43 yard field goal,10,24
6,4.0,Steelers,Bobby Layne 1 yard rush (Tom Miner kick),10,31
