,Quarter,Tm,Detail,DET,MIN
0,1.0,Vikings,Chuck Nelson 35 yard field goal,0,3
1,2.0,Lions,James Jones 2 yard rush (Eddie Murray kick),7,3
2,3.0,Lions,Eddie Murray 33 yard field goal,10,3
3,4.0,Lions,Eddie Murray 44 yard field goal,13,3
4,4.0,Vikings,Jim Gustafson 5 yard pass from Tommy Kramer (Chuck Nelson kick),13,10
