,Quarter,Tm,Detail,HOU,DEN
0,1.0,Broncos,Jon Keyworth 4 yard rush (Jim Turner kick),0,7
1,2.0,Broncos,Jim Turner 43 yard field goal,0,10
2,2.0,Broncos,Otis Armstrong 10 yard rush (Jim Turner kick),0,17
3,2.0,Oilers,Fred Willis 1 yard rush (Skip Butler kick),7,17
4,3.0,Broncos,Otis Armstrong 12 yard rush,7,23
5,4.0,Oilers,Jeff Queen 4 yard pass from Dan Pastorini (Skip Butler kick),14,23
6,4.0,Broncos,Haven Moses 12 yard pass from Charley Johnson (Jim Turner kick),14,30
7,4.0,Broncos,Otis Armstrong 15 yard rush (Jim Turner kick),14,37
