,Quarter,Time,Tm,Detail,SEA,SFO
0,1.0,12:33,49ers,Vernon Davis 42 yard pass from Alex Smith (Jeff Reed kick),0,7
1,1.0,4:14,Seahawks,Ruvell Martin 11 yard pass from Matt Hasselbeck (Olindo Mare kick),7,7
2,1.0,0:00,49ers,Jeff Reed 33 yard field goal,7,10
3,2.0,10:31,49ers,Jeff Reed 44 yard field goal,7,13
4,2.0,8:04,49ers,Josh Morgan 15 yard pass from Alex Smith (Jeff Reed kick),7,20
5,2.0,1:50,49ers,Brian Westbrook 62 yard pass from Alex Smith (Jeff Reed kick),7,27
6,2.0,0:00,49ers,Jeff Reed 22 yard field goal,7,30
7,3.0,14:11,49ers,Dashon Goldson 39 yard interception return (Jeff Reed kick),7,37
8,3.0,3:32,49ers,Jeff Reed 36 yard field goal,7,40
9,3.0,3:18,Seahawks,Leon Washington 92 yard kickoff return (Olindo Mare kick),14,40
10,4.0,1:55,Seahawks,Deon Butler 2 yard pass from Matt Hasselbeck (Olindo Mare kick),21,40
