,Quarter,Tm,Detail,PIT,DEN
0,1.0,Broncos,Sammy Winder 1 yard rush (David Treadwell kick),0,7
1,1.0,Broncos,David Treadwell 24 yard field goal,0,10
2,2.0,Steelers,Louis Lipps 6 yard pass from Bubby Brister (Gary Anderson kick),7,10
3,2.0,Broncos,Steve Sewell 2 yard rush (David Treadwell kick),7,17
4,2.0,Steelers,Eric Green 3 yard pass from Bubby Brister (Gary Anderson kick),14,17
5,3.0,Steelers,Merril Hoge 6 yard rush (Gary Anderson kick),21,17
6,4.0,Steelers,Eric Green 10 yard pass from Bubby Brister,27,17
7,4.0,Steelers,Eric Green 3 yard pass from Bubby Brister (Gary Anderson kick),34,17
