,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,Lou Piccone 4 yard pass from Joe Ferguson (Neil O'Donoghue kick),0,7
1,2.0,Jets,Richard Todd 1 yard rush (Pat Leahy kick),7,7
2,3.0,Jets,Pat Leahy 35 yard field goal,10,7
3,3.0,Jets,Jerome Barkum 5 yard pass from Richard Todd (Pat Leahy kick),17,7
4,4.0,Bills,Bob Chandler 5 yard pass from Joe Ferguson (Neil O'Donoghue kick),17,14
5,4.0,Bills,Neil O'Donoghue 24 yard field goal,17,17
6,4.0,Jets,Clark Gaines 14 yard rush (Pat Leahy kick),24,17
7,4.0,Bills,"Safety, Todd ran out of end zone",24,19
