,Quarter,Tm,Detail,CLE,CRD
0,1.0,Browns,Dub Jones 33 yard rush (Lou Groza kick),7,0
1,1.0,Browns,Lou Groza 17 yard field goal,10,0
2,2.0,Cardinals,Frank Tripucka 1 yard rush (Vinnie Yablonski kick),10,7
