,Quarter,Tm,Detail,NYG,BKN
0,2.0,Giants,Ward Cuff 25 yard field goal,3,0
1,4.0,Giants,Hank Soar 12 yard pass from Len Barnum (Len Barnum kick),10,0
2,4.0,Dodgers,Sam Francis 1 yard rush (Ace Parker kick),10,7
