,Quarter,Time,Tm,Detail,BAL,SDG
0,1.0,2:44,Chargers,Steve Christie 24 yard field goal,0,3
1,1.0,1:31,Ravens,Alan Ricard 50 yard offensive fumble return (Matt Stover kick),7,3
2,2.0,0:00,Ravens,Matt Stover 49 yard field goal,10,3
3,3.0,3:00,Ravens,Todd Heap 25 yard pass from Kyle Boller (Matt Stover kick),17,3
4,3.0,1:18,Ravens,Jamal Lewis 7 yard rush (Matt Stover kick),24,3
5,4.0,9:06,Chargers,LaDainian Tomlinson 2 yard rush (Steve Christie kick),24,10
