,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Sammy White 26 yard pass from Tommy Kramer (Jan Stenerud kick),7,0
1,1.0,Lions,Leonard Thompson 1 yard pass from Gary Danielson (Eddie Murray kick),7,7
2,2.0,Vikings,Jan Stenerud 35 yard field goal,10,7
3,2.0,Lions,Leonard Thompson 66 yard pass from Gary Danielson (Eddie Murray kick),10,14
4,2.0,Vikings,Jan Stenerud 32 yard field goal,13,14
5,2.0,Vikings,Jan Stenerud 37 yard field goal,16,14
6,3.0,Vikings,Chris Martin 8 yard special teams fumble return (Jan Stenerud kick),23,14
7,3.0,Lions,James Jones 10 yard pass from Gary Danielson (Eddie Murray kick),23,21
8,3.0,Vikings,Jan Stenerud 34 yard field goal,26,21
9,4.0,Vikings,Jan Stenerud 19 yard field goal,29,21
10,4.0,Lions,Leonard Thompson 15 yard pass from Gary Danielson (Eddie Murray kick),29,28
