,Quarter,Tm,Detail,NWE,NYG
0,2.0,Giants,Mark Bavaro 16 yard pass from Jeff Rutledge (Raul Allegre kick),0,7
1,2.0,Giants,George Adams 9 yard pass from Jeff Rutledge (Raul Allegre kick),0,14
2,3.0,Patriots,Greg Baty 15 yard pass from Steve Grogan (Tony Franklin kick),7,14
3,3.0,Giants,Raul Allegre 19 yard field goal,7,17
4,4.0,Patriots,Tony Franklin 46 yard field goal,10,17
