,Quarter,Tm,Detail,STL,TAM
0,1.0,Buccaneers,Ron Hall 1 yard pass from Vinny Testaverde (Donald Igwebuike kick),0,7
1,2.0,Cardinals,Jay Novacek 15 yard pass from Neil Lomax (Al Del Greco kick),7,7
2,2.0,Cardinals,J.T. Smith 8 yard pass from Neil Lomax (Al Del Greco kick),14,7
3,3.0,Cardinals,Al Del Greco 28 yard field goal,17,7
4,3.0,Cardinals,Robert Awalt 5 yard pass from Neil Lomax (Al Del Greco kick),24,7
5,4.0,Cardinals,Stump Mitchell 3 yard rush (Al Del Greco kick),31,7
6,4.0,Buccaneers,Gerald Carter 26 yard pass from Vinny Testaverde (Donald Igwebuike kick),31,14
