,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Ben Agajanian 31 yard field goal,0,3
1,1.0,Eagles,Jack Ferrante 26 yard pass from Roy Zimmerman,6,3
2,2.0,Eagles,Jack Ferrante 65 yard pass from Roy Zimmerman (Roy Zimmerman kick),13,3
3,3.0,Eagles,Steve Van Buren 20 yard rush,19,3
4,3.0,Eagles,Fred Meyer 27 yard pass from Roy Zimmerman (Roy Zimmerman kick),26,3
5,4.0,Eagles,Jack Banta 22 yard rush,32,3
6,4.0,Eagles,Mel Bleeker 14 yard rush (Roy Zimmerman kick),39,3
7,4.0,Eagles,Abe Karnofsky 19 yard rush,45,3
