,Quarter,Time,Tm,Detail,HOU,NOR
0,2.0,14:19,Texans,Deshaun Watson 21 yard rush (Ka'imi Fairbairn kick),7,0
1,2.0,9:27,Saints,Wil Lutz 32 yard field goal,7,3
2,2.0,1:51,Texans,DeAndre Hopkins 2 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),14,3
3,3.0,12:57,Saints,Latavius Murray 30 yard rush (Wil Lutz kick),14,10
4,3.0,8:24,Texans,DeAndre Hopkins 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),21,10
5,3.0,2:43,Saints,Taysom Hill 9 yard pass from Drew Brees (Wil Lutz kick),21,17
6,4.0,15:00,Saints,Tre'Quan Smith 14 yard pass from Drew Brees (Wil Lutz kick),21,24
7,4.0,0:55,Saints,Wil Lutz 47 yard field goal,21,27
8,4.0,0:43,Texans,Kenny Stills 37 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),28,27
9,4.0,0:02,Saints,Wil Lutz 58 yard field goal,28,30
