,Quarter,Tm,Detail,PIT,BOS
0,2.0,Pirates,Armand Niccolai 27 yard field goal,3,0
1,4.0,Redskins,Jim Musick unknown yard rush (Jim Musick kick),3,7
2,4.0,Redskins,Pug Rentner 19 yard rush,3,13
