,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Craig Cotton 3 yard pass from Greg Landry (Errol Mann kick),7,0
1,2.0,Bears,Bobby Douglass 4 yard rush (Mac Percival kick),7,7
2,2.0,Lions,Greg Landry 10 yard rush (Errol Mann kick),14,7
3,2.0,Bears,Mac Percival 15 yard field goal,14,10
4,2.0,Lions,Steve Owens 1 yard rush (Errol Mann kick),21,10
5,3.0,Lions,Greg Landry 6 yard rush (Errol Mann kick),28,10
6,4.0,Bears,Cyril Pinder 11 yard rush (Mac Percival kick),28,17
7,4.0,Lions,Errol Mann 35 yard field goal,31,17
8,4.0,Bears,Jim Harrison 17 yard rush (Mac Percival kick),31,24
9,4.0,Lions,Greg Landry 13 yard rush (Errol Mann kick),38,24
