,Quarter,Time,Tm,Detail,PIT,MIA
0,1.0,,Dolphins,Pete Stoyanovich 37 yard field goal,0,3
1,2.0,,Dolphins,Bernie Parmalee 2 yard rush (Pete Stoyanovich kick),0,10
2,2.0,,Steelers,Norm Johnson 40 yard field goal,3,10
3,2.0,,Dolphins,Terry Kirby 28 yard pass from Dan Marino (Pete Stoyanovich kick),3,17
4,3.0,,Dolphins,Pete Stoyanovich 39 yard field goal,3,20
5,4.0,,Dolphins,Pete Stoyanovich 21 yard field goal,3,23
6,4.0,,Steelers,Ernie Mills 27 yard pass from Jim Miller (Norm Johnson kick),10,23
