,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,,Chargers,John Carney 33 yard field goal,0,3
1,1.0,,Chargers,John Carney 38 yard field goal,0,6
2,2.0,,Chiefs,Pete Stoyanovich 44 yard field goal,3,6
3,2.0,,Chiefs,Pete Stoyanovich 26 yard field goal,6,6
4,2.0,,Chiefs,Pete Stoyanovich 26 yard field goal,9,6
5,3.0,,Chargers,John Carney 44 yard field goal,9,9
6,3.0,,Chargers,Darrien Gordon 81 yard punt return (John Carney kick),9,16
7,3.0,,Chiefs,Reggie Johnson 3 yard pass from Steve Bono (Pete Stoyanovich kick),16,16
8,4.0,,Chargers,John Carney 39 yard field goal,16,19
9,4.0,,Chiefs,Pete Stoyanovich 32 yard field goal,19,19
10,4.0,,Chargers,John Carney 33 yard field goal,19,22
