,Quarter,Tm,Detail,DEN,SEA
0,1.0,Seahawks,Norm Johnson 37 yard field goal,0,3
1,2.0,Seahawks,Curt Warner 2 yard rush (Norm Johnson kick),0,10
2,2.0,Broncos,Rich Karlis 31 yard field goal,3,10
3,2.0,Seahawks,Norm Johnson 35 yard field goal,3,13
4,2.0,Broncos,Orson Mobley 17 yard pass from John Elway (Rich Karlis kick),10,13
5,2.0,Seahawks,Daryl Turner 16 yard pass from Dave Krieg (Norm Johnson kick),10,20
6,3.0,Seahawks,Daryl Turner 7 yard pass from Dave Krieg (Norm Johnson kick),10,27
7,3.0,Broncos,Rich Karlis 34 yard field goal,13,27
8,4.0,Broncos,Rich Karlis 47 yard field goal,16,27
9,4.0,Seahawks,Curt Warner 6 yard rush (Norm Johnson kick),16,34
10,4.0,Seahawks,Curt Warner 60 yard rush (Norm Johnson kick),16,41
