,Quarter,Tm,Detail,RAM,STL
0,1.0,Rams,Charles White 47 yard rush (Mike Lansford kick),7,0
1,1.0,Cardinals,Jim Gallery 44 yard field goal,7,3
2,1.0,Rams,Damone Johnson 10 yard pass from Jim Everett (Mike Lansford kick),14,3
3,2.0,Cardinals,Stump Mitchell 5 yard rush (Jim Gallery kick),14,10
4,2.0,Cardinals,Robert Awalt 19 yard pass from Neil Lomax (Jim Gallery kick),14,17
5,3.0,Cardinals,Derrick McAdoo special teams fumble recovery in end zone (Jim Gallery kick),14,24
6,3.0,Rams,Jerry Gray blocked punt recovery in end zone (Mike Lansford kick),21,24
7,3.0,Rams,Mike Lansford 28 yard field goal,24,24
8,4.0,Rams,Mike Lansford 20 yard field goal,27,24
