,Quarter,Tm,Detail,OAK,BUF
0,1.0,Bills,Curtis Brown 4 yard rush (Nick Mike-Mayer kick),0,7
1,2.0,Bills,Joe Cribbs 1 yard rush (Nick Mike-Mayer kick),0,14
2,2.0,Bills,Nick Mike-Mayer 30 yard field goal,0,17
3,3.0,Raiders,Lester Hayes 48 yard interception return (Chris Bahr kick),7,17
4,4.0,Bills,Joe Cribbs 21 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,24
