,Quarter,Tm,Detail,SFO,DEN
0,1.0,49ers,Jerry Rice 20 yard pass from Joe Montana (Mike Cofer kick),7,0
1,1.0,Broncos,David Treadwell 42 yard field goal,7,3
2,1.0,49ers,Brent Jones 7 yard pass from Joe Montana,13,3
3,2.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),20,3
4,2.0,49ers,Jerry Rice 38 yard pass from Joe Montana (Mike Cofer kick),27,3
5,3.0,49ers,Jerry Rice 28 yard pass from Joe Montana (Mike Cofer kick),34,3
6,3.0,49ers,John Taylor 35 yard pass from Joe Montana (Mike Cofer kick),41,3
7,3.0,Broncos,John Elway 3 yard rush (David Treadwell kick),41,10
8,4.0,49ers,Tom Rathman 3 yard rush (Mike Cofer kick),48,10
9,4.0,49ers,Roger Craig 1 yard rush (Mike Cofer kick),55,10
