,Quarter,Tm,Detail,RAI,PHI
0,1.0,Eagles,Roger Ruzek 24 yard field goal,0,3
1,2.0,Eagles,Herschel Walker 1 yard rush (Roger Ruzek kick),0,10
2,2.0,Raiders,Jeff Jaeger 22 yard field goal,3,10
3,2.0,Eagles,Fred Barnett 42 yard pass from Jim McMahon (Roger Ruzek kick),3,17
4,3.0,Eagles,Heath Sherman 30 yard rush (Roger Ruzek kick),3,24
5,4.0,Eagles,Herschel Walker 2 yard rush (Roger Ruzek kick),3,31
6,4.0,Raiders,Tim Brown 6 yard pass from Jay Schroeder (Jeff Jaeger kick),10,31
