,Quarter,Time,Tm,Detail,CHI,NYG
0,1.0,,Bears,Michael Timpson 6 yard rush (Kevin Butler kick),7,0
1,1.0,,Giants,Arthur Marshall 5 yard pass from Dave Brown (Brad Daluiso kick),7,7
2,2.0,,Giants,Rodney Hampton 1 yard rush (Brad Daluiso kick),7,14
3,2.0,,Bears,Jeff Graham 6 yard pass from Erik Kramer (Kevin Butler kick),14,14
4,3.0,,Giants,Brad Daluiso 22 yard field goal,14,17
5,3.0,,Bears,Kevin Butler 34 yard field goal,17,17
6,4.0,,Bears,Michael Timpson 9 yard pass from Erik Kramer (Kevin Butler kick),24,17
7,4.0,,Giants,Rodney Hampton 2 yard rush (Brad Daluiso kick),24,24
8,4.0,,Bears,Kevin Butler 37 yard field goal,27,24
