,Quarter,Tm,Detail,CLE,MIN
0,1.0,Browns,Calvin Hill 18 yard pass from Brian Sipe (Don Cockroft kick),7,0
1,2.0,Browns,Brian Sipe 2 yard rush,13,0
2,3.0,Vikings,Joe Senser 31 yard pass from Tommy Kramer,13,6
3,3.0,Browns,Don Cockroft 32 yard field goal,16,6
4,3.0,Vikings,Rick Danmeier 24 yard field goal,16,9
5,4.0,Browns,Cleo Miller 1 yard rush (Don Cockroft kick),23,9
6,4.0,Vikings,Ted Brown 7 yard pass from Tommy Kramer,23,15
7,4.0,Vikings,Ahmad Rashad 12 yard pass from Tommy Kramer (Rick Danmeier kick),23,22
8,4.0,Vikings,Ahmad Rashad 46 yard pass from Tommy Kramer,23,28
