,Quarter,Tm,Detail,NYG,SFO
0,1.0,Giants,Alex Webster 43 yard pass from Don Heinrich (Frank Gifford kick),7,0
1,1.0,Giants,Frank Gifford 59 yard rush (Frank Gifford kick),14,0
2,1.0,Giants,Frank Gifford 17 yard field goal,17,0
3,2.0,Giants,Mel Triplett 35 yard pass from Don Heinrich (Frank Gifford kick),24,0
4,2.0,49ers,Hugh McElhenny 16 yard rush (Gordie Soltau kick),24,7
5,3.0,Giants,Mel Triplett 1 yard rush (Frank Gifford kick),31,7
6,3.0,49ers,Billy Wilson 33 yard pass from Y.A. Tittle (Gordie Soltau kick),31,14
7,4.0,49ers,Hugh McElhenny 2 yard rush (Gordie Soltau kick),31,21
8,4.0,Giants,Mel Triplett 13 yard rush (Don Chandler kick),38,21
