,Quarter,Tm,Detail,OAK,CLE
0,1.0,Raiders,Errol Mann 39 yard field goal,3,0
1,1.0,Browns,Don Cockroft 41 yard field goal,3,3
2,2.0,Raiders,Errol Mann 28 yard field goal,6,3
3,2.0,Raiders,Errol Mann 27 yard field goal,9,3
4,3.0,Raiders,Mark van Eeghen 3 yard rush (Errol Mann kick),16,3
5,3.0,Raiders,Errol Mann 39 yard field goal,19,3
6,4.0,Raiders,Mark van Eeghen 3 yard rush (Errol Mann kick),26,3
7,4.0,Browns,Reggie Rucker 20 yard pass from Brian Sipe (Don Cockroft kick),26,10
