,Quarter,Tm,Detail,CIN,SFO
0,1.0,49ers,Ricky Watters 2 yard rush (Mike Cofer kick),0,7
1,1.0,Bengals,"Safety, A. Williams tackled Young in end zone",2,7
2,2.0,Bengals,Doug Pelfrey 38 yard field goal,5,7
3,2.0,Bengals,Doug Pelfrey 29 yard field goal,8,7
4,3.0,49ers,Ricky Watters 2 yard rush (Mike Cofer kick),8,14
5,4.0,49ers,Ricky Watters 4 yard rush (Mike Cofer kick),8,21
