,Quarter,Time,Tm,Detail,GNB,CHI
0,2.0,,Packers,Edgar Bennett 3 yard rush (Chris Jacke kick),7,0
1,2.0,,Packers,Brett Favre 36 yard rush (Chris Jacke kick),14,0
2,3.0,,Packers,Edgar Bennett 1 yard rush (Chris Jacke kick),21,0
3,4.0,,Packers,Edgar Bennett 13 yard pass from Brett Favre (run failed),27,0
4,4.0,,Bears,Jeff Graham 5 yard pass from Steve Walsh (pass failed),27,6
5,4.0,,Packers,Reggie Cobb 9 yard rush,33,6
