,Quarter,Tm,Detail,CIN,PIT
0,1.0,Steelers,John Fuqua 7 yard rush (Roy Gerela kick),0,7
1,1.0,Steelers,Roy Gerela 15 yard field goal,0,10
2,2.0,Steelers,Roy Gerela 22 yard field goal,0,13
3,2.0,Steelers,Frank Lewis 28 yard pass from Terry Bradshaw,0,19
4,2.0,Steelers,Larry Brown 13 yard pass from Terry Bradshaw (Roy Gerela kick),0,26
5,3.0,Bengals,Virgil Carter 1 yard rush (Horst Muhlmann kick),7,26
6,3.0,Steelers,Frank Lewis 34 yard pass from Terry Bradshaw (Roy Gerela kick),7,33
7,3.0,Bengals,Chip Myers 2 yard pass from Virgil Carter (Horst Muhlmann kick),14,33
8,4.0,Steelers,Franco Harris 2 yard rush (Roy Gerela kick),14,40
9,4.0,Bengals,Horst Muhlmann 37 yard field goal,17,40
