,Quarter,Tm,Detail,ATL,TAM
0,1.0,Falcons,Fred Steinfort 26 yard field goal,3,0
1,1.0,Falcons,Haskel Stanback 1 yard rush (Fred Steinfort kick),10,0
2,3.0,Falcons,Haskel Stanback 1 yard rush (Fred Steinfort kick),17,0
