,Quarter,Tm,Detail,PHI,DAL
0,1.0,Cowboys,Toni Fritsch 26 yard field goal,0,3
1,2.0,Eagles,Horst Muhlmann 23 yard field goal,3,3
2,2.0,Cowboys,Preston Pearson 5 yard rush (Toni Fritsch kick),3,10
3,2.0,Cowboys,Roger Staubach 1 yard rush (Toni Fritsch kick),3,17
4,3.0,Cowboys,Toni Fritsch 20 yard field goal,3,20
5,4.0,Eagles,James McAlister 13 yard rush (Horst Muhlmann kick),10,20
6,4.0,Cowboys,Doug Dennison 5 yard rush (Toni Fritsch kick),10,27
7,4.0,Eagles,Po James 1 yard rush (Horst Muhlmann kick),17,27
