,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,Nick Lowery 32 yard field goal,3,0
1,2.0,Broncos,Vance Johnson 11 yard pass from John Elway (Rich Karlis kick),3,7
2,3.0,Chiefs,Nick Lowery 41 yard field goal,6,7
3,4.0,Chiefs,Stephone Paige 7 yard pass from Todd Blackledge (Nick Lowery kick),13,7
4,4.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),13,14
