,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,Nick Mike-Mayer 23 yard field goal,0,3
1,1.0,Jets,Pat Leahy 30 yard field goal,3,3
2,1.0,Bills,Nick Mike-Mayer 29 yard field goal,3,6
3,2.0,Jets,Tom Newton 51 yard rush (Pat Leahy kick),10,6
4,2.0,Jets,Tom Newton 1 yard rush (Pat Leahy kick),17,6
5,2.0,Bills,Jerry Butler 5 yard pass from Joe Ferguson,17,12
6,2.0,Jets,Wesley Walker 37 yard pass from Richard Todd (Pat Leahy kick),24,12
7,2.0,Bills,Jerry Butler 75 yard pass from Joe Ferguson (Nick Mike-Mayer kick),24,19
8,3.0,Bills,Jerry Butler 74 yard pass from Joe Ferguson (Nick Mike-Mayer kick),24,26
9,3.0,Bills,Jerry Butler 9 yard pass from Joe Ferguson (Nick Mike-Mayer kick),24,33
10,3.0,Bills,Fred Smerlas 13 yard defensive fumble return (Nick Mike-Mayer kick),24,40
11,4.0,Bills,Joe Shipp 13 yard pass from Joe Ferguson,24,46
12,4.0,Jets,Mickey Shuler 27 yard pass from Richard Todd (Pat Leahy kick),31,46
