,Quarter,Tm,Detail,DEN,RAI
0,1,Raiders,"Safety, Martin tackled Kubiak in end zone",0,2
1,1,Raiders,Marcus Allen 36 yard pass from Marc Wilson (Chris Bahr kick),0,9
2,2,Raiders,Chris Bahr 44 yard field goal,0,12
3,2,Broncos,Rich Karlis 41 yard field goal,3,12
4,2,Broncos,Rich Karlis 24 yard field goal,6,12
5,3,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),6,19
6,4,Broncos,Clarence Kay 4 yard pass from Gary Kubiak (pass failed),12,19
7,4,Broncos,Steve Watson 12 yard pass from Gary Kubiak (Rich Karlis kick),19,19
8,OT,Broncos,Rich Karlis 35 yard field goal,22,19
