,Quarter,Tm,Detail,NOR,ATL
0,1.0,Falcons,Eddie Ray 1 yard rush (Nick Mike-Mayer kick),0,7
1,2.0,Falcons,Eddie Ray 1 yard rush (Nick Mike-Mayer kick),0,14
2,3.0,Saints,Bob Newland 6 yard pass from Bobby Scott (Bill McClard kick),7,14
3,3.0,Saints,Bill McClard 11 yard field goal,10,14
