,Quarter,Tm,Detail,SDG,DET
0,3.0,Lions,Rick Kane 2 yard rush (Steve Mike-Mayer kick),0,7
1,4.0,Lions,Rick Kane 1 yard rush (Steve Mike-Mayer kick),0,14
2,4.0,Lions,Marv Hubbard 1 yard rush,0,20
