,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Del Shofner 50 yard pass from Billy Wade (Jack Morris kick),0,7
1,1.0,Bears,Johnny Morris 29 yard pass from Zeke Bratkowski (John Aveni kick),7,7
2,3.0,Bears,Rick Casares 1 yard rush (John Aveni kick),14,7
3,3.0,Bears,Larry Morris 19 yard fumble return,20,7
4,3.0,Rams,Ollie Matson 19 yard rush (Jack Morris kick),20,14
5,3.0,Bears,Rick Casares 30 yard pass from Ed Brown,26,14
6,4.0,Rams,Jon Arnett 38 yard pass from Frank Ryan (Jack Morris kick),26,21
