,Quarter,Tm,Detail,DET,BAL
0,1.0,Lions,Jim Gibbons 6 yard pass from Milt Plum (Wayne Walker kick),7,0
1,2.0,Lions,Wayne Walker 42 yard field goal,10,0
2,2.0,Colts,Jerry Hill 3 yard rush (Lou Michaels kick),10,7
3,2.0,Lions,Jim Gibbons 6 yard pass from Milt Plum (Wayne Walker kick),17,7
4,3.0,Colts,Lenny Moore offensive fumble recovery in end zone (Lou Michaels kick),17,14
5,3.0,Lions,Milt Plum 1 yard rush (Wayne Walker kick),24,14
6,4.0,Lions,Terry Barr 17 yard pass from Milt Plum (Wayne Walker kick),31,14
