,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,5:54,Lions,Jason Hanson 44 yard field goal,0,3
1,1.0,4:33,Bears,Earl Bennett 60 yard pass from Jay Cutler (Olindo Mare kick),7,3
2,1.0,2:59,Bears,Olindo Mare 33 yard field goal,10,3
3,2.0,3:26,Bears,Matt Forte 1 yard rush (Olindo Mare kick),17,3
4,2.0,1:49,Bears,Olindo Mare 40 yard field goal,20,3
5,2.0,0:12,Lions,Kris Durham 25 yard pass from Matthew Stafford (Jason Hanson kick),20,10
6,3.0,6:31,Lions,Will Heller 10 yard pass from Matthew Stafford (Jason Hanson kick),20,17
7,3.0,1:49,Bears,Olindo Mare 28 yard field goal,23,17
8,4.0,10:47,Bears,Olindo Mare 20 yard field goal,26,17
9,4.0,6:55,Lions,Brian Robiskie 9 yard pass from Matthew Stafford (Jason Hanson kick),26,24
