,Quarter,Time,Tm,Detail,SEA,GNB
0,1.0,4:45,Seahawks,Shawn Springs 61 yard blocked field goal return (Todd Peterson kick),7,0
1,2.0,10:06,Packers,Corey Bradford 74 yard pass from Brett Favre (Ryan Longwell kick),7,7
2,2.0,5:39,Seahawks,Derrick Mayes 10 yard pass from Jon Kitna (Todd Peterson kick),14,7
3,3.0,10:30,Seahawks,Sean Dawkins 2 yard pass from Jon Kitna (Todd Peterson kick),21,7
4,4.0,11:11,Seahawks,Todd Peterson 19 yard field goal,24,7
5,4.0,6:50,Seahawks,Todd Peterson 29 yard field goal,27,7
