,Quarter,Tm,Detail,ATL,NOR
0,1.0,Saints,Dalton Hilliard 13 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Falcons,Greg Davis 27 yard field goal,3,7
2,3.0,Falcons,Greg Davis 43 yard field goal,6,7
3,4.0,Falcons,Greg Davis 39 yard field goal,9,7
4,4.0,Saints,Morten Andersen 30 yard field goal,9,10
