,Quarter,Tm,Detail,CLE,PHI
0,2.0,Browns,Lou Groza 22 yard field goal,3,0
1,3.0,Browns,Maurice Bassett 31 yard pass from Tommy O'Connell (Lou Groza kick),10,0
2,4.0,Browns,Lou Groza 41 yard field goal,13,0
3,4.0,Browns,Lou Groza 15 yard field goal,16,0
