,Quarter,Tm,Detail,BAL,KAN
0,1.0,Chiefs,Jan Stenerud 31 yard field goal,0,3
1,2.0,Colts,Jim O'Brien 22 yard field goal,3,3
2,2.0,Colts,Tom Mitchell 5 yard pass from Marty Domres (Jim O'Brien kick),10,3
3,2.0,Chiefs,Wendell Hayes 13 yard pass from Len Dawson (Jan Stenerud kick),10,10
4,3.0,Chiefs,Otis Taylor 25 yard pass from Len Dawson (Jan Stenerud kick),10,17
5,4.0,Chiefs,Ed Podolak 5 yard rush (Jan Stenerud kick),10,24
