,Quarter,Tm,Detail,GNB,DET
0,3.0,Lions,Dutch Clark 4 yard rush,0,6
1,3.0,Lions,Dutch Clark 1 yard rush (Dutch Clark kick),0,13
2,3.0,Packers,Ed Jankowski 36 yard rush (Ernie Smith kick),7,13
3,4.0,Packers,Clarke Hinkle 2 yard rush (Ernie Smith kick),14,13
