,Quarter,Tm,Detail,KAN,RAI
0,1.0,Chiefs,Stephone Paige 36 yard pass from Bill Kenney (Nick Lowery kick),7,0
1,1.0,Chiefs,Theotis Brown 1 yard rush (Nick Lowery kick),14,0
2,2.0,Raiders,Todd Christensen 3 yard pass from Jim Plunkett (Chris Bahr kick),14,7
3,2.0,Chiefs,Nick Lowery 32 yard field goal,17,7
4,3.0,Raiders,Dokie Williams 21 yard pass from Marcus Allen (Chris Bahr kick),17,14
5,4.0,Chiefs,Nick Lowery 39 yard field goal,20,14
6,4.0,Raiders,Marcus Allen offensive fumble recovery in end zone (Chris Bahr kick),20,21
