,Quarter,Tm,Detail,SFO,PHI
0,1.0,49ers,Jerry Rice 68 yard pass from Joe Montana (Mike Cofer kick),7,0
1,1.0,Eagles,Heath Sherman 2 yard rush (Luis Zendejas kick),7,7
2,1.0,Eagles,"Safety, Harris tackled Montana in end zone",7,9
3,2.0,Eagles,Luis Zendejas 35 yard field goal,7,12
4,2.0,49ers,Mike Cofer 32 yard field goal,10,12
5,3.0,Eagles,Luis Zendejas 35 yard field goal,10,15
6,3.0,Eagles,Luis Zendejas 44 yard field goal,10,18
7,4.0,Eagles,Luis Zendejas 20 yard field goal,10,21
8,4.0,49ers,John Taylor 70 yard pass from Joe Montana (Mike Cofer kick),17,21
9,4.0,Eagles,Jimmie Giles 3 yard pass from Randall Cunningham (Luis Zendejas kick),17,28
10,4.0,49ers,Tom Rathman 8 yard pass from Joe Montana (Mike Cofer kick),24,28
11,4.0,49ers,Brent Jones 25 yard pass from Joe Montana (Mike Cofer kick),31,28
12,4.0,49ers,Jerry Rice 33 yard pass from Joe Montana (Mike Cofer kick),38,28
