,Quarter,Time,Tm,Detail,CAR,TAM
0,2.0,,Panthers,John Kasay 53 yard field goal,3,0
1,2.0,1:20,Buccaneers,Michael Husted 33 yard field goal,3,3
2,3.0,1:20,Panthers,John Kasay 20 yard field goal,6,3
3,3.0,1:20,Panthers,Fred Lane 1 yard rush (John Kasay kick),13,3
4,4.0,1:20,Buccaneers,Trent Dilfer 1 yard rush (Michael Husted kick),13,10
5,4.0,1:47,Buccaneers,Karl Williams 29 yard pass from Trent Dilfer,13,16
