,Quarter,Tm,Detail,BKN,NYG
0,1.0,Dodgers,Banks McFadden 24 yard pass from Ace Parker (Ace Parker kick),7,0
1,1.0,Giants,Jim Lee Howell 17 yard pass from Len Barnum,7,6
2,4.0,Dodgers,Dick Cassiano 44 yard pass from Ace Parker (Ace Parker kick),14,6
