,Quarter,Tm,Detail,HAM,TOL
0,1,Maroons,Dunc Annan unknown yard pass from Rat Watson (Dunc Annan pass from Rat Watson),0,7
1,2,Maroons,3 yard rush (Russ Stein kick),0,14
