,Quarter,Tm,Detail,OAK,NWE
0,2.0,Raiders,Pete Banaszak 4 yard rush,6,0
1,3.0,Patriots,Ron Sellers 33 yard pass from Jim Plunkett (Charlie Gogolak kick),6,7
2,3.0,Patriots,Roland Moss 20 yard pass from Jim Plunkett (Charlie Gogolak kick),6,14
3,4.0,Patriots,Charlie Gogolak 46 yard field goal,6,17
4,4.0,Patriots,Charlie Gogolak 22 yard field goal,6,20
