,Quarter,Time,Tm,Detail,TEN,GNB
0,1.0,,Packers,Antonio Freeman 57 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,1.0,,Packers,Antonio Freeman 68 yard pass from Brett Favre (Ryan Longwell kick),0,14
2,2.0,,Oilers,Derrick Mason 25 yard pass from Steve McNair (Al Del Greco kick),7,14
3,2.0,1:19,Packers,Antonio Freeman 32 yard pass from Brett Favre (Ryan Longwell kick),7,21
4,3.0,1:19,Packers,Ryan Longwell 38 yard field goal,7,24
5,3.0,1:19,Oilers,Yancey Thigpen 30 yard pass from Steve McNair (Al Del Greco kick),14,24
6,4.0,1:19,Packers,Ryan Longwell 40 yard field goal,14,27
7,4.0,1:19,Packers,Ryan Longwell 40 yard field goal,14,30
8,4.0,0:58,Oilers,Derrick Mason 3 yard pass from Steve McNair (Eddie George run),22,30
