,Quarter,Time,Tm,Detail,CHI,CIN
0,1.0,,Bengals,Doug Pelfrey 28 yard field goal,0,3
1,2.0,,Bengals,Doug Pelfrey 37 yard field goal,0,6
2,2.0,,Bears,Kevin Butler 27 yard field goal,3,6
3,3.0,,Bengals,Doug Pelfrey 39 yard field goal,3,9
4,3.0,3:41,Bengals,Darnay Scott 38 yard pass from Jeff Blake (Doug Pelfrey kick),3,16
5,4.0,3:41,Bears,Rashaan Salaam 5 yard rush (Kevin Butler kick),10,16
