,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),0,7
1,2.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),0,14
2,2.0,Browns,Don Cockroft 24 yard field goal,0,17
3,3.0,Browns,Gary Collins 8 yard pass from Bill Nelsen (Don Cockroft kick),0,24
4,4.0,Browns,Frank Pitts 18 yard pass from Mike Phipps (Don Cockroft kick),0,31
