,Quarter,Tm,Detail,CHI,RAM
0,2.0,Rams,Carroll Dale 80 yard pass from Zeke Bratkowski (Danny Villanueva kick),0,7
1,2.0,Bears,John Adams 59 yard pass from Billy Wade (Roger LeClerc kick),7,7
2,2.0,Rams,Danny Villanueva 10 yard field goal,7,10
3,2.0,Bears,Billy Wade 1 yard rush (Roger LeClerc kick),14,10
4,3.0,Rams,Dick Bass 45 yard rush (Danny Villanueva kick),14,17
5,3.0,Bears,Billy Martin 12 yard rush (Roger LeClerc kick),21,17
6,3.0,Bears,Joe Marconi 7 yard rush,27,17
7,4.0,Rams,Art Perkins 3 yard rush,27,23
